TrialID,EventID,Loss
5,88,63827.04
5,124,426006.87
6,121,3480904.75
7,66,127718.41
15,167,29933.88
16,162,378589.13
25,83,358897.55
25,155,258930.67
31,49,10894.66
34,142,247285.91
36,4,5126.5
47,4,76606.78
49,4,27899.43
49,81,411464.95
53,151,34517.33
55,124,120487.7
58,46,1183345.59
59,83,245527.2
63,83,552147.7
68,151,54250.14
81,171,252187.53
89,83,837516.21
97,49,31251.12
116,167,26144.32
131,88,32306.23
132,155,61368.35
146,64,821154.52
147,121,8926773.78
157,155,1948807.55
159,167,13820.68
177,64,235100.33
177,124,458189.3
184,121,3207763.73
184,124,817381.52
194,155,423955.62
198,38,167931.69
200,167,10708.49
208,124,185474.07
214,4,239724.5
217,121,2392826.63
218,155,650892.4
220,64,2594131.06
227,88,110526.51
231,83,371394.51
232,81,233115.17
260,142,71201.6
273,167,26551.96
278,167,80615.2
283,142,1071735.46
288,4,57260.49
296,171,2914164.05
297,167,118522.74
318,4,88999.94
319,83,279273.51
324,155,283193.57
331,66,407959.42
332,155,471719.76
333,49,164183.94
338,83,413543.9
343,83,2321299.93
346,151,76131.71
346,162,156776.44
347,51,333667.09
354,98,2085300.11
356,38,156996.6
357,124,162821.21
366,151,30274.58
377,121,1351733.43
380,38,372521.03
384,88,36036.19
384,167,10743.18
397,83,205701.17
397,88,134144.81
400,49,8295.76
400,155,246577.67
403,88,127802.1
404,4,31144.26
406,121,2748651.36
407,72,46420.94
412,167,73644.63
416,167,63485.11
416,171,374111.05
418,174,1008847.82
425,121,2224376.1
430,81,244339.0
439,124,603850.97
439,167,9292.79
442,49,50405.26
448,51,242349.95
448,155,480718.22
453,83,138809.6
459,167,36579.3
461,151,158155.72
465,154,124124.38
466,121,2954586.52
466,155,2717827.81
467,124,621291.5
470,38,847555.0
470,66,111500.68
471,155,881755.82
479,174,197818.61
483,83,1026740.42
489,166,1124096.85
490,66,178520.37
495,81,498791.55
501,49,27993.2
501,83,44050.71
501,151,366956.29
505,83,782384.11
507,83,446506.45
507,142,84399.1
509,66,62286.61
514,72,67489.99
521,38,51985.14
522,154,392521.16
531,155,135429.73
533,154,235012.77
534,83,109081.76
540,81,331082.82
545,4,63060.31
549,4,103740.59
549,154,104559.97
554,88,210168.77
556,81,66553.39
566,83,233605.21
570,121,2659213.32
573,88,55037.02
573,167,8241.01
574,72,114290.45
574,174,3102029.21
579,83,252475.89
580,81,227075.65
581,162,116551.37
583,81,1065681.13
592,72,32491.26
593,124,634657.69
594,171,7406689.59
599,81,365161.41
599,121,329288.61
604,72,54697.31
615,155,3212633.71
618,81,201104.01
621,162,55766.22
622,49,1789.44
624,81,417444.72
624,162,70306.39
630,121,289136.27
630,171,557128.92
632,66,73227.82
638,49,87526.73
641,49,170112.26
642,98,916889.68
644,88,754193.68
645,166,24923.95
648,124,225428.83
649,88,279955.21
650,83,270998.51
652,66,104417.27
653,171,9127100.27
660,72,36020.58
664,88,182382.23
670,88,41934.69
678,88,37246.02
681,162,18565.75
686,38,262971.84
686,142,64853.36
688,83,446856.63
703,167,220623.23
707,124,182930.02
720,151,56925.81
726,88,80131.27
734,151,128719.58
736,49,33603.12
738,66,340648.56
738,98,798455.97
741,83,657730.84
743,98,1424438.42
748,155,563173.08
750,38,136140.88
752,142,99339.25
754,167,83792.66
755,88,41173.03
758,66,318034.71
761,121,6166042.16
766,124,536173.59
766,142,333909.28
768,154,244543.82
777,51,249215.79
778,155,1126617.91
781,142,622389.7
791,72,103643.07
792,98,1227594.12
793,155,161358.82
794,51,397178.48
795,88,30722.25
795,167,22217.23
796,49,32517.35
800,83,190657.93
805,124,412084.23
805,167,195475.91
810,124,687487.25
811,98,1951115.53
817,124,95508.58
820,83,200886.51
821,51,333870.6
833,174,7096039.93
834,51,220991.13
834,167,68869.5
837,171,1976981.91
840,167,62257.69
841,66,251652.9
850,174,1523889.36
852,49,199564.24
859,49,20183.13
860,98,791493.92
862,88,136283.72
872,154,186189.36
875,151,121636.65
886,121,261418.12
894,167,56771.76
896,38,46480.71
897,124,295690.22
906,124,1058515.34
907,49,48458.44
907,151,74086.86
907,171,2152340.17
909,124,163172.93
912,38,212468.93
912,121,1708949.98
912,166,842892.31
916,81,967486.43
917,66,142719.52
918,167,159821.05
924,187,1392104.04
932,124,299251.81
940,66,206406.26
946,121,5021914.74
954,46,234394.23
954,88,289320.58
956,72,171989.31
966,81,542775.31
977,66,294180.05
979,88,25436.42
983,49,127278.27
986,98,1511852.63
988,155,179480.86
992,124,198628.38
994,167,278190.54
997,66,74180.74
1000,98,722304.6
1001,124,813394.59
1005,121,560114.19
1005,171,527533.17
1009,88,92669.77
1009,167,10865.67
1012,83,501048.87
1014,38,97818.68
1017,88,443806.39
1020,142,313369.13
1020,151,149645.5
1021,83,471063.64
1023,174,170979.78
1033,155,65129.65
1035,121,1745573.37
1036,151,68140.97
1043,88,133303.86
1045,151,137946.38
1047,162,61305.85
1048,124,631545.36
1054,124,185682.7
1057,66,145256.08
1059,83,312627.28
1060,4,139379.35
1069,154,503623.06
1071,121,2088009.4
1075,38,36610.02
1075,83,153609.3
1084,187,411023.16
1086,4,117500.13
1090,167,35932.36
1096,49,38273.26
1097,72,70865.06
1097,155,1044697.59
1099,151,21567.15
1099,154,766152.66
1104,88,78488.09
1108,167,62949.59
1109,38,123900.31
1110,124,1077894.23
1115,167,617625.76
1122,167,16301.32
1128,124,241083.83
1129,167,28238.39
1132,38,27976.2
1133,167,3352.13
1134,155,399929.23
1135,88,33867.85
1135,174,398106.91
1136,121,249277.57
1142,155,239891.49
1145,81,1202935.98
1148,88,272493.43
1151,162,122787.19
1158,98,684782.19
1163,51,534884.66
1166,166,36829.26
1167,171,2863213.23
1168,167,75592.8
1171,162,108575.85
1188,174,355199.21
1189,124,307032.69
1192,38,92693.34
1195,88,73953.06
1197,81,141952.04
1197,166,259754.09
1198,174,625371.18
1199,167,18271.35
1208,142,87479.77
1211,72,29393.42
1215,98,983817.74
1226,151,49227.48
1232,142,155062.69
1234,142,372755.71
1236,155,385582.97
1242,51,109165.61
1244,124,197150.5
1248,81,157376.89
1259,167,124210.09
1263,46,559465.95
1265,167,29604.17
1266,167,50193.6
1267,167,29528.96
1279,155,365259.48
1280,98,1574361.98
1283,81,538794.18
1292,174,965826.63
1298,83,187072.86
1299,124,237025.05
1305,49,84103.89
1306,124,430736.9
1308,66,93321.53
1312,66,193419.77
1312,151,124252.14
1315,88,119247.18
1321,174,1806023.87
1325,88,141433.43
1328,98,1080067.34
1329,81,332386.94
1329,155,495958.05
1333,151,104046.93
1336,66,121132.87
1337,88,27404.72
1338,4,12990.02
1338,98,439334.96
1347,46,552142.42
1348,166,442046.64
1349,121,5932429.07
1350,154,208696.33
1355,49,69637.49
1355,151,253811.82
1358,155,223667.52
1359,162,43824.35
1360,121,324241.13
1362,88,13400.62
